marker_lat,marker_lng,proposed_name,text_lat,text_lng,horizontal_difference,vertical_difference,score,nearest_other_title,nearest_other_score,confidence,action,notes
-75.05035357407698,-118.95996093750001,Pisquheege,-65.14629225164387,-91.44821485869174,27.511746,9.904061,51.171680,Wepowaug,58.442547,duplicate,review,A named settlement marker (Pawtucket) is closer to the proposed title.
-75.01630602063717,-116.87255859375001,Pisquheege,-65.14629225164387,-91.44821485869174,25.424344,9.870014,48.006529,Wepowaug,55.277396,duplicate,review,A named settlement marker (Pawtucket) is closer to the proposed title.
-75.47513069090053,-116.96044921875,Pisquheege,-65.14629225164387,-91.44821485869174,25.512234,10.328838,48.597190,Wepowaug,55.868057,duplicate,review,A named settlement marker (Pawtucket) is closer to the proposed title.
-76.44490733708945,-44.71435546875,Pochaug,-62.46160496515689,-39.83331129165111,4.881044,13.983302,21.304869,Pashesauke,31.697272,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-76.14295846479848,-45.966796875,Pochaug,-62.46160496515689,-39.83331129165111,6.133486,13.681353,22.881582,Pashesauke,33.273985,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-76.58325853729983,-46.51611328125,Pochaug,-62.46160496515689,-39.83331129165111,6.682802,14.121654,24.145857,Pashesauke,34.538260,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-76.8207925254374,-48.69140625,Pochaug,-62.46160496515689,-39.83331129165111,8.858095,14.359188,27.646330,Pashesauke,38.038733,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-77.03941844273028,-49.37255859375001,Pochaug,-62.46160496515689,-39.83331129165111,9.539247,14.577813,28.886684,Pashesauke,39.279088,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-77.0836963067392,-50.42724609375001,Pochaug,-62.46160496515689,-39.83331129165111,10.593935,14.622091,30.512994,Pashesauke,40.905397,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-75.30331101068566,-47.06542968750001,Pochaug,-62.46160496515689,-39.83331129165111,7.232118,12.841706,23.689884,Pashesauke,34.082287,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-74.83918324990893,-55.4150390625,Totoket,-59.888936896765834,-68.00542837562294,12.590389,14.950246,33.835830,Pochaug,35.750170,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-75.67763393603113,-56.6455078125,Totoket,-59.888936896765834,-68.00542837562294,11.359921,15.788697,32.828578,Pochaug,38.434324,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-75.53562529096112,-68.88427734375001,Totoket,-59.888936896765834,-68.00542837562294,0.878849,15.646688,16.964962,Mioonktuck,20.835876,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-74.74696664174384,-70.09277343750001,Totoket,-59.888936896765834,-68.00542837562294,2.087345,14.858030,17.989047,Mioonktuck,18.234473,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-75.18017014726308,-67.25830078125001,Totoket,-59.888936896765834,-68.00542837562294,0.747128,15.291233,16.411925,Mioonktuck,22.919385,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
58.56252272853734,65.96191406250001,Pentucket,59.18718526575666,64.62158203125001,1.340332,0.624663,2.635161,Kenoza,3.758605,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
60.08676274626006,67.93945312500001,Kenoza,60.673178565817715,67.06054687500001,0.878906,0.586416,1.904775,Pentucket,5.876384,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
62.103882522897884,77.60742187500001,Kwaskwaikikwen,58.676937672586924,80.72753906250001,3.120117,3.426945,8.107121,Nahumkeak,16.248767,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
59.31076795603884,74.17968750000001,Kwaskwaikikwen,58.676937672586924,80.72753906250001,6.547852,0.633830,10.455608,Shenewemedy,11.555047,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
58.06625598088457,83.03466796875001,Kwaskwaikikwen,58.676937672586924,80.72753906250001,2.307129,0.610682,4.071375,Chebaco,13.055568,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
47.30903424774781,89.75830078125001,Agawam,53.0936976235228,89.55965115107843,0.198650,5.784663,6.082638,Chebaco,7.787103,duplicate,review,A named settlement marker (Agawam) is closer to the proposed title.
47.62097541515849,80.77148437500001,Nahumkeak,48.32703913063479,79.25537109375001,1.516113,0.706064,2.980234,Wahquamesecok,8.413565,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
45.213003555993964,78.11279296875001,Wahquamesecok,45.99696161820381,76.24511718750001,1.867676,0.783958,3.585472,Nahumkeak,4.827903,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-65.07213008560697,-85.49560546875001,Wepowaug,-64.6333606369832,-86.94292460352015,1.447319,0.438769,2.609748,Pisquheege,9.003076,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-65.62202261510642,-90.02197265625,Pisquheege,-65.14629225164387,-91.44821485869174,1.426242,0.475730,2.615094,Wepowaug,5.607234,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-62.73460087706358,-72.81738281250001,Mioonktuck,-62.246888547856656,-73.91570335427505,1.098321,0.487712,2.135193,Totoket,10.063596,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-59.265880628258095,-12.041015625000002,Pequotauk,-59.25480647478875,-13.315224246233583,1.274209,0.011074,1.922387,Noank,11.359429,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-39.23225314171489,102.06298828125001,Sachonesset,-39.147102707700746,100.48095703125,1.582031,0.085150,2.458197,Pispogutt,6.995669,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-37.94419750075404,110.12695312500001,Mashpee,-38.30809432604605,111.99729824152816,1.870345,0.363897,3.169415,Paupoesit,3.329846,medium,review,The two nearest settlement titles have nearly equal scores.
-40.64730356252251,108.14941406250001,Ashimuit,-40.597270634420255,106.85285549813123,1.296559,0.050033,1.994871,Waquoit,2.440424,medium,review,The two nearest settlement titles have nearly equal scores.
-38.37611542403603,112.98339843750001,Mashpee,-38.30809432604605,111.99729824152816,0.986100,0.068021,1.547171,Santuit,2.941788,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-43.02071359427861,110.10498046875001,Weesquabs,-43.16512263158296,111.75292968750001,1.647949,0.144409,2.616333,Waquoit,2.866336,medium,review,The two nearest settlement titles have nearly equal scores.
-43.9928145004899,113.26904296875,Weesquabs,-43.16512263158296,111.75292968750001,1.516113,0.827692,3.101862,Cotuit,5.487376,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-40.613952441166596,115.11474609375,Cotuit,-39.757879992021756,114.10400390625001,1.010742,0.856072,2.372186,Cotachessett,3.590852,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-21.47351753334985,79.82666015625001,Wampanucket,-20.468099350519722,77.8710362264454,1.955624,1.005418,3.938854,Namasachet,5.736809,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-17.832374329567507,70.79589843750001,Cohannet,-16.720385051693988,69.45556640625001,1.340332,1.111989,3.122487,Titicut,5.923378,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-14.157881896141461,73.27880859375001,Titicut,-14.051330743518175,72.22412109375001,1.054688,0.106551,1.688582,Pachade,7.247346,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
5.900188795584184,-8.415527343750002,Maanexit,-4.653124537311702,0.4193294401477488,8.834857,10.553313,23.805599,Menameset,32.862225,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
6.293458760393985,-9.799804687500002,Maanexit,-4.653124537311702,0.4193294401477488,10.219134,10.946583,26.275284,Menameset,30.392539,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
5.309766171943691,-9.514160156250002,Maanexit,-4.653124537311702,0.4193294401477488,9.933490,9.962891,24.863125,Menameset,31.804698,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
7.035475652433024,-9.492187500000002,Maanexit,-4.653124537311702,0.4193294401477488,9.911517,11.688600,26.555876,Menameset,30.111947,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
12.12526421833159,-9.316406250000002,Menameset,29.171348850951507,-14.809570312500002,5.493164,17.046085,25.285831,Maanexit,31.381992,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
16.762467717941604,-15.139160156250002,Menameset,29.171348850951507,-14.809570312500002,0.329590,12.408881,12.903266,Nichewaug,27.112738,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
19.16592425362802,6.745605468750001,Waushacum,34.016241889667036,13.688964843750002,6.943359,14.850318,25.265357,Quinnatisset,32.019605,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
16.846605106396304,10.898437500000002,Waushacum,34.016241889667036,13.688964843750002,2.790527,17.169637,21.355428,Nashua,31.040731,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
20.673905264672843,13.974609375000002,Waushacum,34.016241889667036,13.688964843750002,0.285645,13.342337,13.770803,Nashua,22.599173,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-62.48187744898419,-38.6279296875,Pochaug,-62.46160496515689,-39.83331129165111,1.205382,0.020272,1.828345,Pashesauke,8.604603,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-49.224772722794825,-20.676269531250004,Poquechanneeg,-39.16414104768743,-19.335937500000004,1.340332,10.060632,12.071130,Willlmantic,16.787206,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-21.493963563064455,5.229492187500001,Attawangan,-21.47353538728909,4.176472870583311,1.053019,0.020428,1.599957,Quinnatisset,13.230605,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
6.533645130567532,-59.80957031250001,Nonotuck,26.391869671769022,-51.13037109375,8.679199,19.858225,32.877023,Pocumtuck,51.418850,duplicate,review,A named settlement marker (Nonotuck) is closer to the proposed title.
-34.361576287484176,-97.294921875,Peatan,-34.30759287914818,-98.08508286433172,0.790161,0.053983,1.239225,Meshapock,20.960439,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-48.19538740833338,-91.23046875,Meshapock,-48.137018484279025,-92.50492390075328,1.274455,0.058369,1.970052,Naugatuck,3.301542,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-49.65340458843789,-88.94531250000001,Naugatuck,-49.58228824034103,-89.95404136308912,1.008729,0.071116,1.584210,Meshapock,6.855803,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-33.46810795527895,-19.577636718750004,Willlmantic,-32.602361666817515,-20.786132812500004,1.208496,0.865746,2.678490,Poquechanneeg,6.058582,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-17.308687886770024,81.40869140625001,Namasachet,-16.29903259997615,80.20154300720772,1.207148,1.009655,2.820378,Wampanucket,8.465894,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
11.005904459659451,-109.40185546875001,Scatekook,11.931858584012664,-110.16818661278329,0.766331,0.925954,2.075451,Oustonuck,3.586413,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
13.966054081318314,-107.86376953125001,Oustonuck,14.029586440616434,-109.02670143532063,1.162932,0.063532,1.807930,Scatekook,5.490821,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-16.99375545289455,-116.27929687500001,Scatekook,11.931858584012664,-110.16818661278329,6.111110,28.925614,38.092279,Oustonuck,41.902235,duplicate,review,A named settlement marker (Wnahtukook) is closer to the proposed title.
-58.859223547066584,-2.0874023437500004,Mistic,-58.36726366448147,-2.702012177300084,0.614610,0.491960,1.413875,Noank,5.068633,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-60.29429873400916,-4.042968750000001,Noank,-59.81137296969263,-4.831724521069415,0.788756,0.482926,1.666059,Mistic,3.938470,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-56.860985750644886,3.9770507812500004,Asupsuck,-56.789121967927656,2.8785083629072,1.098542,0.071864,1.719677,Wequetequock,3.413227,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-60.04288763076307,3.7133789062500004,Aushnook,-59.511789280392115,2.593940343893273,1.119439,0.531098,2.210256,Wequetequock,2.609113,medium,review,The two nearest settlement titles have nearly equal scores.
-40.094872337893925,-18.171386718750004,Poquechanneeg,-39.16414104768743,-19.335937500000004,1.164551,0.930731,2.677557,Willlmantic,11.414630,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
36.03133177633189,21.071777343750004,Nashaway,36.8268747428773,20.061035156250004,1.010742,0.795543,2.311656,Nashua,6.813280,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
51.303145259199084,47.35107421875001,Pawtucket,51.984880139916655,45.94482421875,1.406250,0.681735,2.791110,Wamesit,5.473890,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
37.92977319243816,23.80833384119878,Nashaway,36.8268747428773,20.061035156250004,3.747299,1.102898,6.723846,Nashua,9.407281,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
43.43696596521823,51.70166015625001,Shawshinok,41.07932570552366,54.77783201405636,3.076172,2.357640,6.971898,Wamesit,8.918168,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
40.21246025329131,56.030281649008565,Shawshinok,41.07932570552366,54.77783201405636,1.252450,0.866865,2.745540,Misticke,12.314473,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
27.0982539061379,38.03466796875001,Penobscot,27.896987499832555,36.869213245927774,1.165455,0.798734,2.546916,Whipsuppenike,13.455770,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
24.32707654001865,31.113281250000004,Whipsuppenike,29.743477300551824,30.827636911847904,0.285644,5.416401,5.844867,Okommakamesit,5.935414,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-14.41340016520608,10.9423828125,Quaddick,-14.391734022653369,10.043698018975347,0.898685,0.021666,1.369693,Quinnatisset,7.854886,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-11.759814674441921,8.613281250000002,Quinnatisset,-11.69560464311918,7.517656097640383,1.095625,0.064210,1.707648,Quaddick,4.777545,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-5.725311447610142,1.0766601562500002,Maanexit,-4.653124537311702,0.4193294401477488,0.657331,1.072187,2.058183,Quinnatisset,15.631787,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-15.982453522973495,21.4453125,Chepachet,-15.072123545811683,20.456542968750004,0.988770,0.910330,2.393484,Nipsachuck,13.597246,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
29.516110386062277,-12.502441406250002,Menameset,29.171348850951507,-14.809570312500002,2.307129,0.344762,3.805455,Nichewaug,18.314174,medium,review,Another placeholder marker is closer to this same title; left unchanged to preserve one-to-one matching.
28.091366281406945,-13.623046875,Menameset,29.171348850951507,-14.809570312500002,1.186523,1.079983,2.859768,Nichewaug,18.058010,medium,review,Another placeholder marker is closer to this same title; left unchanged to preserve one-to-one matching.
27.352252938063845,-14.611816406250002,Menameset,29.171348850951507,-14.809570312500002,0.197754,1.819096,2.115727,Nichewaug,17.313969,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
28.70986084394286,60.07324218750001,Squibnocket,29.76289765511265,59.17236319131399,0.900879,1.053037,2.404355,Misticke,5.252567,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
23.221154981846556,58.82080078125001,Squibnocket,29.76289765511265,59.17236319131399,0.351562,6.541743,7.069086,Misticke,11.960756,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
-12.875939037217996,28.850097656250004,Nipsachuck,-11.910353555774101,27.795410156250004,1.054688,0.965585,2.547617,Chepachet,14.786517,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-0.3981522316457348,28.740234375000004,Nipsachuck,-11.910353555774101,27.795410156250004,0.944824,11.512201,12.929438,Mucksquit,26.258343,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
2.284467588374642,28.1689453125,Nipsachuck,-11.910353555774101,27.795410156250004,0.373535,14.194821,14.755124,Mucksquit,24.432657,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
3.5349053313990932,28.410644531250004,Nipsachuck,-11.910353555774101,27.795410156250004,0.615234,15.445259,16.368110,Mucksquit,22.819670,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
18.89590466057119,36.91406250000001,Penobscot,27.896987499832555,36.869213245927774,0.044849,9.001083,9.068357,Mucksquit,9.449235,duplicate,review,A named settlement marker (Goodman Hill) is closer to the proposed title.
20.03497127651161,40.10009765625001,Mucksquit,11.523059118255802,38.298322235709456,1.801775,8.511912,11.214575,Penobscot,12.708343,duplicate,review,A named settlement marker (Mucksquit) is closer to the proposed title.
19.352429877965967,27.268066406250004,Okommakamesit,28.284951553591984,29.794921844580458,2.526855,8.932522,12.722805,Whipsuppenike,15.730403,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
24.266927326659292,42.31933593750001,Penobscot,27.896987499832555,36.869213245927774,5.450123,3.630060,11.805244,Mucksquit,18.775389,duplicate,review,A named settlement marker (Goodman Hill) is closer to the proposed title.
40.94612917944953,37.68310546875,Nashobah,41.705728515237524,36.49658203125001,1.186523,0.759599,2.539384,Musketaquid,14.266709,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
33.56033549257388,61.34765625000001,Misticke,33.632838453022224,59.85351568980685,1.494141,0.072503,2.313714,Squibnocket,7.060377,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
31.353926392327995,68.95019531250001,Winnisimmet,32.13903686440613,67.89572968906776,1.054466,0.785110,2.366809,Winnisimmet,7.330029,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
33.79698892147911,73.01513671875001,Winnisimmet,34.59704151614417,71.67480468750001,1.340332,0.800053,2.810551,Winnisimmet,9.337063,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
30.487096437490415,73.74023437500001,Winnisimmet,34.59704151614417,71.67480468750001,2.065430,4.109945,7.208090,Winnisimmet,10.418697,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
41.16278798663197,83.51806640625001,Massabequash,40.1452892956766,78.79394531250001,4.724121,1.017499,8.103680,Chebaco,12.351318,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
49.681846899401286,74.00390625000001,Shenewemedy,50.359480346298696,72.44384765625001,1.560059,0.677633,3.017721,Wahquamesecok,7.046702,medium,review,Another placeholder marker is closer to this same title; left unchanged to preserve one-to-one matching.
51.46746190298089,63.87451171875001,Cochichawick,52.1874047455997,61.78710937500001,2.087402,0.719943,3.851046,Pentucket,8.840329,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
52.32143399533718,68.46679687500001,Shenewemedy,50.359480346298696,72.44384765625001,3.977051,1.961954,7.927530,Cochichawick,10.153560,low,leave unchanged,Nearest settlement title is too far away for a visually obvious match.
50.28944548865566,71.47705078125001,Shenewemedy,50.359480346298696,72.44384765625001,0.966797,0.070035,1.520230,Wahquamesecok,11.444583,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-42.87596878898569,-32.12402343750001,Ashowat,-42.03297433244139,-33.35449218750001,1.230469,0.842994,2.688698,Pashesauke,20.757165,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
-59.90016673427393,-70.92773437500001,Totoket,-59.888936896765834,-68.00542837562294,2.922306,0.011230,4.394689,Mioonktuck,6.828675,medium,review,Another placeholder marker is closer to this same title; left unchanged to preserve one-to-one matching.
-60.42475279712382,-67.17041015625001,Totoket,-59.888936896765834,-68.00542837562294,0.835018,0.535816,1.788343,Mioonktuck,11.940076,high,rename automatically,Close to and clearly separated from the next-nearest settlement title.
